iso,year,geo
BEN,1979,geo_hrm
BEN,1992,geo_hrm
BEN,2002,geo_hrm
BEN,2013,geo_hrm
BFA,1985,geo_hrm
BFA,1996,geo_hrm
BFA,2006,geo_hrm
BWA,1981,geo_hrm
BWA,1991,geo_hrm
BWA,2001,geo_hrm
BWA,2011,geo_hrm
CMR,1976,geo_hrm
CMR,1987,geo_hrm
CMR,2005,geo_hrm
EGY,1986,geo_hrm
EGY,1996,geo_hrm
EGY,2006,geo_hrm
ETH,1984,hrm
ETH,1994,hrm
ETH,2007,hrm
GHA,1984,geo_low_2000
GHA,2000,geo_low_2000
GHA,2010,geo_low_2000
GIN,1983,hrm
GIN,1996,hrm
GIN,2014,hrm
KEN,1969,geo_hrm
KEN,1979,geo_hrm
KEN,1989,geo_hrm
KEN,1999,geo_hrm
KEN,2009,geo_hrm
LBR,1974,geo_hrm
LBR,2008,geo_hrm
LSO,1996,geo_hrm
LSO,2006,geo_hrm
MAR,1982,geo_hrm
MAR,1994,geo_hrm
MAR,2004,geo_hrm
MAR,2014,geo_hrm
MLI,1987,geo_hrm
MLI,1998,geo_hrm
MLI,2009,geo_hrm
MOZ,1997,geo_hrm
MOZ,2007,geo_hrm
MUS,1990,geo_hrm
MUS,2000,geo_hrm
MUS,2011,geo_hrm
MWI,1987,geo_hrm
MWI,1998,geo_hrm
MWI,2008,geo_hrm
NGA,2006,geo_hrm
NGA,2007,geo_hrm
NGA,2008,geo_hrm
NGA,2009,geo_hrm
NGA,2010,geo_hrm
RWA,1991,hrm
RWA,2002,hrm
RWA,2012,hrm
SDN,2008,geo_hrm
SEN,1988,hrm
SEN,2002,hrm
SEN,2013,hrm
SLE,2004,geo_hrm
SSD,2008,geo_hrm
TGO,1960,geo_low_2010
TGO,1970,geo_low_2010
TGO,2010,geo_low_2010
TZA,1988,geo_hrm
TZA,2002,geo_hrm
TZA,2012,geo_hrm
UGA,1991,geo_hrm
UGA,2002,geo_hrm
UGA,2014,geo_hrm
ZAF,1996,geo_hrm
ZAF,2001,geo_hrm
ZAF,2007,geo_hrm
ZAF,2011,geo_hrm
ZAF,2016,geo_hrm
ZMB,1990,hrm
ZMB,2000,hrm
ZMB,2010,hrm
ZWE,2012,geo_hrm
